trainNo,trainName,fromStation,toStation
14722,Abohar Jodhpur Express,Abohar Junction,Jodhpur Junction
54703,Abohar Jodhpur Passenger,Bathinda Junction,Jaipur Junction
79438,Abu Road Mahesana DEMU,Abu Road,Mehsana Junction
55338,Achhnera Kasganj Fast Passenger,Bharatpur Junction,Kasganj Junction
55332,Achhnera Kasganj Passenger,Achhnera Junction,Kasganj Junction
22188,Adhartal Rani Kamlapati Intercity Express,Adhartal,Rani Kamlapati
17409,Adilabad Hazur Sahib Nanded Express,Adilabad,Hazur Sahib Nanded
1012,Adilabad Mumbai CSMT Summer Special,Adilabad,Chhatrapati Shivaji Maharaj Terminus
57654,Adilabad Parli Vaijnath Passenger,Adilabad,Parli Vaijnath
77616,Adilabad Purna DEMU,Adilabad,Purna Junction
68045,Adra Asansol Memu,Adra Junction,Asansol Junction
68061,Adra Asansol MEMU,Adra Junction,Asansol Junction
68063,Adra Asansol MEMU,Adra Junction,Asansol Junction
68065,Adra Asansol MEMU,Adra Junction,Asansol Junction
68067,Adra Asansol MEMU,Adra Junction,Asansol Junction
68069,Adra Asansol MEMU,Adra Junction,Asansol Junction
68053,Adra Barabhum MEMU,Adra Junction,Barabhum
68041,Adra Barkakana MEMU,Adra Junction,Barkakana Junction
68077,Adra Bhaga MEMU,Adra Junction,Bhaga
68075,Adra Bhojudih MEMU,Adra Junction,Bhojudih Junction
68082,Adra Bishnupur MEMU,Adra Junction,Bishnupur Junction
68084,Adra Bishnupur MEMU,Adra Junction,Bishnupur Junction
68098,Adra Garhbeta MEMU,Adra Junction,Garhbeta
68071,Adra Khanudih MEMU,Adra Junction,Khanudih
68102,Adra Kharagpur Memu,Adra Junction,Kharagpur Junction
68090,Adra Midnapore MEMU,Adra Junction,Midnapore
68057,Adra Purulia MEMU,Adra Junction,Purulia Junction
20501,Agartala Anand Vihar Terminal Tejas Rajdhani Express,Agartala,Anand Vihar Terminus
15626,Agartala Deoghar Weekly Express,Agartala,Deoghar
5665,Agartala Dharmanagar Kharchi Puja Passenger Special,Agartala,Dharmanagar
55675,Agartala Dharmanagar Passenger,Agartala,Dharmanagar
5621,Agartala Guwahati One Way Special,Agartala,Guwahati
5628,Agartala Guwahati Summer Special,Agartala,Guwahati
75679,Agartala Karimganj DEMU,Agartala,Karimganj Junction
12097,Agartala Khongsang Jan Shatabdi Express,Agartala,Khongsang
12502,Agartala Kolkata Garib Rath Express,Agartala,Kolkata
12520,Agartala Mumbai LTT AC Super Fast Express,Agartala,Lokmanya Tilak Terminus
1666,Agartala Rani Kamalapati Special,Agartala,Rani Kamlapati
75682,Agartala Sabroom DEMU,Agartala,Sabroom
75684,Agartala Sabroom DEMU,Agartala,Sabroom
75688,Agartala Sabroom DEMU,Agartala,Sabroom
75690,Agartala Sabroom DEMU,Agartala,Sabroom
5667,Agartala Sabroom Kharchi Puja Passenger Special,Agartala,Sabroom
7029,Agartala Secunderabad Special,Agartala,Secunderabad Junction
15663,Agartala Silchar Express,Agartala,Silchar
12504,Agartala SMVT Bengaluru Humsafar Express,Agartala,Sir Mokshagundam Visvesvaraya Terminal
76827,Agasthiyampalli Thiruvarur DEMU,Agastiyampalli,Thiruvarur Junction
12341,Agnibina Express,Howrah Junction,Asansol Junction
12342,Agnibina Express,Asansol Junction,Howrah Junction
1919,Agra Cantt Asarva Summer Special,Agra Cantonment,Asarva Junction
20176,Agra Cantt Banaras Vande Bharat Express,Agra Cantonment,Banaras
64626,Agra Cantt Etawah MEMU,Agra Cantonment,Etawah Junction
1961,Agra Cantt Gangapur City Mela Special,Agra Cantonment,Gangapur City
11905,Agra Cantt Hoshiarpur Express,Agra Cantonment,Hoshiarpur
20976,Agra Cantt Howrah Chambal Express,Agra Cantonment,Howrah Junction
13168,Agra Cantt Kolkata Weekly Express,Agra Cantonment,Kolkata
64623,Agra Cantt Mainpuri MEMU,Agra Cantonment,Mainpuri Junction
64957,Agra Cantt Palwal MEMU,Agra Cantonment,Palwal
12547,Agra Cantt Sabarmati Super Fast Express,Agra Cantonment,Sabarmati Bg
64955,Agra Cantt Tundla MEMU,Agra Cantonment,Tundla Junction
20982,Agra Cantt Udaipur City Vande Bharat Express,Agra Cantonment,Udaipur City
11808,Agra Cantt Virangana Lakshmibai MEMU Express,Agra Cantonment,Virangana Lakshmibai Jhansi Junction
1972,Agra Cantt. - Mathura Mela Special,Agra Cantonment,Mathura Junction
12195,Agra Fort Ajmer Intercity Super Fast Express,Agra Fort,Ajmer Junction
22988,Agra Fort Ajmer Super Fast Express,Agra Fort,Ajmer Junction
51901,Agra Fort Etah Passenger,Agra Fort,Etah
55334,Agra Fort Kasganj Passenger,Agra Fort,Kasganj Junction
59814,Agra Fort Kota Passenger,Agra Fort,Kota Junction
12180,Agra Fort Lucknow Junction Intercity Super Fast Express,Agra Fort,Lucknow Junction
15055,Agra Fort Ramnagar Express,Agra Fort,Ramnagar
1901,Agra Fort Subedarganj Kumbh Mela Special,Agra Fort,Subedarganj
11902,Agra Jhansi Express,Agra Cantonment,Virangana Lakshmibai Jhansi Junction
14211,Agra New Delhi Intercity Express,Agra Cantonment,New Delhi
63040,Ahamadpur Katwa Memu,Ahmadpur Junction,Katwa Junction
22645,Ahilya Nagari Super Fast Express,Indore Junction,
22646,Ahilya Nagari Super Fast Express,Thiruvananthapuram North,Indore Junction
22185,Ahimsa Super Fast Express,Ahmedabad Junction,Pune Junction
22186,Ahimsa Super Fast Express,Pune Junction,Ahmedabad Junction
53056,Ahmadpur Katwa Passenger,Ahmadpur Junction,Katwa Junction
69116,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
69130,Ahmedabad Anand MEMU,Ahmedabad Junction,Anand Junction
19435,Ahmedabad Asansol Weekly Express,Ahmedabad Junction,Asansol Junction
19483,Ahmedabad Barauni Express,Ahmedabad Junction,Barauni Junction
19418,Ahmedabad Borivali Express,Ahmedabad Junction,Borivali
15560,Ahmedabad Darbhanga Antyodaya Express,Ahmedabad Junction,Darbhanga Junction
9465,Ahmedabad Darbhanga Clone Special,Ahmedabad Junction,Darbhanga Junction
19165,Ahmedabad Darbhanga Sabarmati Express,Ahmedabad Junction,Darbhanga Junction
20947,Ahmedabad Ekta Nagar Jan Shatabdi Express,Ahmedabad Junction,Ektanagar
9409,Ahmedabad Ekta Nagar Steam Heritage Special,Ahmedabad Junction,Ektanagar
20949,Ahmedabad Ektanagar Jan Shatabdi Express,Ahmedabad Junction,Ektanagar
19489,Ahmedabad Gorakhpur Express,Ahmedabad Junction,Gorakhpur Junction
9411,Ahmedabad Gwalior Super Fast Summer Special,Ahmedabad Junction,Gwalior Junction
12917,Ahmedabad Hazrat Nizamuddin Gujarat Sampark Kranti Express,Ahmedabad Junction,Hazrat Nizamuddin
12833,Ahmedabad Howrah Super Fast Express,Ahmedabad Junction,Howrah Junction
54804,Ahmedabad Jodhpur Passenger,Rewari Junction,Sikar Junction
19413,Ahmedabad Kolkata Weekly Express,Ahmedabad Junction,Kolkata
22920,Ahmedabad MGR Chennai Humsafar Express,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
20954,Ahmedabad MGR Chennai Super Fast Express,Ahmedabad Junction,Puratchi Thalaivar Dr. MGR Central
12932,Ahmedabad Mumbai AC Double Decker Express,Ahmedabad Junction,Mumbai Central
82902,Ahmedabad Mumbai Irctc Tejas Express,Ahmedabad Junction,Mumbai Central
12010,Ahmedabad Mumbai Shatabdi Express,Ahmedabad Junction,Mumbai Central
22962,Ahmedabad Mumbai Vande Bharat Express,Ahmedabad Junction,Mumbai Central
22925,Ahmedabad Okha Vande Bharat Express,Ahmedabad Junction,Okha
9447,Ahmedabad Patna Clone Special,Ahmedabad Junction,Patna Junction
19421,Ahmedabad Patna Weekly Express,Ahmedabad Junction,Patna Junction
22967,Ahmedabad Prayagraj Weekly Super Fast Express,Ahmedabad Junction,Prayagraj Junction
12297,Ahmedabad Pune Duronto Express,Ahmedabad Junction,Pune Junction
12844,Ahmedabad Puri Super Fast Express,Ahmedabad Junction,Puri
20862,Ahmedabad Puri Super Fast Express,Ahmedabad Junction,Puri
11049,Ahmedabad Scsmt Kolhapur Express,Ahmedabad Junction,Chhatrapati Shahu Maharaj Terminus Kolhapur
9419,Ahmedabad Tiruchchirappalli Special,Ahmedabad Junction,Tiruchirappalli
19036,Ahmedabad Vadodara Intercity Express,Ahmedabad Junction,Vadodara Junction
69102,Ahmedabad Vadodara MEMU,Ahmedabad Junction,Vadodara Junction
69108,Ahmedabad Vadodara MEMU,Ahmedabad Junction,Vadodara Junction
69114,Ahmedabad Vadodara MEMU,Ahmedabad Junction,Vadodara Junction
19167,Ahmedabad Varanasi City Sabarmati Express,Ahmedabad Junction,Varanasi City
69185,Ahmedabad Viramgam MEMU,Ahmedabad Junction,Viramgam Junction
22689,Ahmedabad Yesvantpur Weekly Super Fast Express,Ahmedabad Junction,Yesvantpur Junction
71441,Ahmednagar Amalner Bhandyache DEMU,Ahmednagar,AMALNER B
15070,Aishbagh Gorakhpur Intercity Express,Aishbagh,Gorakhpur Junction
51861,Ait Konch Shuttle,Ait Junction,Konch
51865,Ait Konch Shuttle,Ait Junction,Konch
12196,Ajmer Agra Fort Intercity Super Fast Express,Ajmer Junction,Agra Fort
22987,Ajmer Agra Fort Super Fast Express,Ajmer Junction,Agra Fort
19611,Ajmer Amritsar Express,Ajmer Junction,Amritsar Junction
19613,Ajmer Amritsar Express,Ajmer Junction,Amritsar Junction
12996,Ajmer Bandra Super Fast Express,Ajmer Junction,Bandra Terminus
9621,Ajmer Bandra Super Fast Special,Ajmer Junction,Bandra Terminus
9653,Ajmer Bandra Super Fast Summer Special,Ajmer Junction,Bandra Terminus
13424,Ajmer Bhagalpur Weekly Express,Ajmer Junction,Bhagalpur Junction
12983,Ajmer Chandigarh Garib Rath Express,Ajmer Junction,Chandigarh Junction
20977,Ajmer Chandigarh Vande Bharat Express,Ajmer Junction,Chandigarh Junction
12990,Ajmer Dadar Western Super Fast Express,Ajmer Junction,Dadar (WR)
9625,Ajmer Daund Super Fast Summer Special,Ajmer Junction,Daund Junction
12065,Ajmer Delhi Sarai Rohilla Jan Shatabdi Express,Ajmer Junction,Delhi Sarai Rohilla
18208,Ajmer Durg Weekly Express,Ajmer Junction,Durg Junction
18214,Ajmer Durg Weekly Express,Ajmer Junction,Durg Junction
79601,Ajmer Gangapur City DEMU,Ajmer Junction,Gangapur City
15716,Ajmer Kishanganj Garib Nawaz Express,Ajmer Junction,Kishanganj
16531,Ajmer KSR Bengaluru Garib Nawaz Express,Ajmer Junction,KSR Bengaluru City Junction
59601,Ajmer Marwar Passenger,Ajmer Junction,Marwar Junction
59602,Ajmer Marwar Passenger,Marwar Junction,Ajmer Junction
16209,Ajmer Mysuru Express,Ajmer Junction,Mysuru City Junction
6282,Ajmer Mysuru Summer Special,Ajmer Junction,Mysuru City Junction
12016,Ajmer New Delhi Shatabdi Express,Ajmer Junction,New Delhi
20824,Ajmer Puri Super Fast Express,Ajmer Junction,Puri
59607,Ajmer Pushkar Passenger,Udaipur City,Bari Sadri
8612,Ajmer Santragachi Festival Special,Ajmer Junction,Santragachi Junction
18010,Ajmer Santragachi Weekly Express,Ajmer Junction,Santragachi Junction
12988,Ajmer Sealdah Super Fast Express,Ajmer Junction,Sealdah
9627,Ajmer Solapur Super Fast Special Fare Special,Ajmer Junction,Solapur Junction
12120,Ajni Amravati Intercity Super Fast Express,Ajni,Amravati Terminal
22140,Ajni Nagpur Pune Humsafar Express,Ajni,Pune Junction
22124,Ajni Pune AC Super Fast Express,Ajni,Pune Junction
1190,Ajni Pune Special,Ajni,Pune Junction
2142,Ajni Pune Super Fast Special,Ajni,Pune Junction
12317,Akal Takht Express,Kolkata,Amritsar Junction
12318,Akal Takht Express,Amritsar Junction,Kolkata
59837,Aklera Kota Passenger,Aklera,Kota Junction
59839,Aklera Kota Passenger,Aklera,Kota Junction
17683,Akola Junction - Purna Junction,Akola Junction,Purna Junction
17640,Akola Kacheguda Intercity Express,Akola Junction,Kacheguda
57656,Akola Purna Passenger,Akola Junction,Purna Junction
7606,Akola Tirupati Super Fast Special,Akola Junction,Tirupati
77608,Akot Akola Passenger,Akot,Akola Junction
13352,Alappuzha Dhanbad Express,Alappuzha,Dhanbad Junction
56312,Alappuzha Ernakulam Junction Passenger,Alappuzha,Ernakulam Junction
66314,Alappuzha Ernakulam MEMU,Alappuzha,Ernakulam Junction
16307,Alappuzha Kannur Executive Express,Alappuzha,Kannur Main
66311,Alappuzha Kollam MEMU,Alappuzha,Kollam Junction
56301,Alappuzha Kollam Passenger,Alappuzha,Kollam Junction
22640,Alappuzha MGR Chennai Super Fast Express,Alappuzha,Puratchi Thalaivar Dr. MGR Central
54351,Aligarh Bareilly Passenger,Aligarh Junction,Bareilly Junction
54353,Aligarh Bareilly Passenger,Aligarh Junction,Bareilly Junction
64101,Aligarh Delhi Emu,Aligarh Junction,Delhi Junction
64103,Aligarh Delhi Emu,Aligarh Junction,Delhi Junction
64151,Aligarh Delhi MEMU,Aligarh Junction,Delhi Junction
54391,Aligarh Gajraula Passenger,Aligarh Junction,Gajraula Junction
4190,Aligarh Govindpuri Fast MEMU Special,Aligarh Junction,Govindpuri Junction
64105,Aligarh New Delhi Emu,Aligarh Junction,New Delhi
64154,Aligarh Tundla MEMU,Aligarh Junction,Tundla Junction
15769,Alipur Duar Junction Lumding Intercity Express,Alipurduar Junction,Mariani Junction
55465,Alipurduar Bamanhat Passenger,Alipurduar Junction,Bamanhat
15483,Alipurduar Delhi Sikkim Mahananda Express,Alipurduar Junction,Delhi Junction
15778,Alipurduar Junction New Jalpaiguri Tourist Express,Alipurduar Junction,New Jalpaiguri Junction
15417,Alipurduar Junction Silghat Rajya Rani Express,Alipurduar Junction,Silghat Town
15768,Alipurduar Junction Siliguri Intercity Express,Alipurduar Junction,Siliguri Junction
59118,Alirajpur Pratapnagar Passenger,Alirajpur,Pratapnagar
59120,Alirajpur Pratapnagar Passenger,Alirajpur,Pratapnagar
51972,Alwar Mathura Passenger,Alwar Junction,Mathura Junction
75106,Aly-mau-dmu-SPL,Gorakhpur Junction,Thawe Junction
71442,Amalner Bhandyache Ahmednagar DEMU,AMALNER B,Ahmednagar
52155,Aman Lodge Matheran Shuttle,Aman Lodge,Matheran
52157,Aman Lodge Matheran Shuttle,Aman Lodge,Matheran
52159,Aman Lodge Matheran Shuttle,Aman Lodge,Matheran
52161,Aman Lodge Matheran Shuttle,Aman Lodge,Matheran
52163,Aman Lodge Matheran Shuttle,Aman Lodge,Matheran
52153,Aman Lodge Matheran Shuttle,Aman Lodge,Matheran
64564,AMB Andaura Ambala Cantonment Memu,Amb Andaura,Ambala Cantonment
22710,AMB Andaura Hazur Sahib Nanded Weekly Super Fast Express,Amb Andaura,Hazur Sahib Nanded
22448,AMB Andaura New Delhi Vande Bharat Express,Amb Andaura,New Delhi
64563,Ambala Cantt AMB Andaura MEMU,Ambala Cantonment,Amb Andaura
54551,Ambala Cantt Bathinda Passenger,Ambala Cantonment,Bathinda Junction
74991,Ambala Cantt Daulatpur Chowk DEMU,Ambala Cantonment,Daulatpur Chowk
54553,Ambala Cantt Dhuri Passenger,Ambala Cantonment,Dhuri Junction
74645,Ambala Cantt Jalandhar City DEMU,Ambala Cantonment,Jalandhar City Junction
54531,Ambala Cantt Kalka Passenger,Ambala Cantonment,Kalka
64482,Ambala Cantt Kurukshetra MEMU,Ambala Cantonment,Kurukshetra Junction
64546,Ambala Cantt Kurukshetra MEMU,Ambala Cantonment,Kurukshetra Junction
64548,Ambala Cantt Kurukshetra MEMU,Ambala Cantonment,Kurukshetra Junction
64521,Ambala Cantt Ludhiana MEMU,Ambala Cantonment,Ludhiana Junction
64523,Ambala Cantt Ludhiana MEMU,Ambala Cantonment,Ludhiana Junction
64515,Ambala Cantt Nangal Dam MEMU,Ambala Cantonment,Nangal Dam
64517,Ambala Cantt Nangal Dam MEMU,Ambala Cantonment,Nangal Dam
64532,Ambala Cantt Panipat MEMU,Ambala Cantonment,Panipat Junction
54557,Ambala Cantt Patiala Passenger,Ambala Cantonment,Patiala
64502,Ambala Cantt Saharanpur MEMU,Ambala Cantonment,Saharanpur Junction
64504,Ambala Cantt Saharanpur MEMU,Ambala Cantonment,Saharanpur Junction
14736,Ambala Cantt Shri Ganganagar Express,Ambala Cantonment,Shri Ganganagar Junction
14525,Ambala Cantt Shri Ganganagar Intercity Express,Ambala Cantonment,Shri Ganganagar Junction
14522,Ambala Cantt. Delhi Intercity Express,Ambala Cantonment,Delhi Junction
68758,Ambikapur Anuppur Memu,Ambikapur,Anuppur Junction
18242,Ambikapur Durg Express,Ambikapur,Durg Junction
22407,Ambikapur Hazrat Nizamuddin Super Fast Express,Ambikapur,Hazrat Nizamuddin
11266,Ambikapur Jabalpur Intercity Express,Ambikapur,Jabalpur Junction
18756,Ambikapur Shahdol Express,Ambikapur,Shahdol
68750,Ambikapur Shahdol MEMU,Ambikapur,Shahdol
8853,Ambikapur Ujjain Special,Ambikapur,Ujjain Junction
61123,Amla Chhindwara MEMU,Amla Junction,Chhindwara Junction
61125,Amla Chhindwara MEMU,Amla Junction,Chhindwara Junction
61121,Amla Itarsi MEMU,Amla Junction,Itarsi Junction
61118,Amla Nagpur MEMU,Amla Junction,Nagpur Junction
61120,Amla Nagpur MEMU,Amla Junction,Nagpur Junction
15707,Amrapali Express,Katihar Junction,Amritsar Junction
14701,Amrapur Aravali Express,Shri Ganganagar Junction,Bandra Terminus
14702,Amrapur Aravali Express,Bandra Terminus,Shri Ganganagar Junction
12119,Amravati Ajni Intercity Super Fast Express,Amravati Terminal,Ajni
61112,Amravati Badnera MEMU,Amravati Terminal,Badnera Junction
61114,Amravati Badnera MEMU,Amravati Terminal,Badnera Junction
61116,Amravati Badnera MEMU,Amravati Terminal,Badnera Junction
12159,Amravati Jabalpur Super Fast Express,Amravati Terminal,Jabalpur Junction
12112,Amravati Mumbai CSMT Super Fast Express,Amravati Terminal,Chhatrapati Shivaji Maharaj Terminus
22118,Amravati Pune AC Super Fast Express,Amravati Terminal,Pune Junction
11406,Amravati Pune Express,Amravati Terminal,Pune Junction
11026,Amravati Pune Express,Amravati Terminal,Pune Junction
20926,Amravati Surat Super Fast Express,Amravati Terminal,Surat
12766,Amravati Tirupati Super Fast Express,Amravati Terminal,Tirupati
61107,Amravati Wardha MEMU,Amravati Terminal,Wardha Junction
52955,Amreli Junagadh MG Passenger,Amreli,Junagadh Junction
52930,Amreli Veraval MG Passenger,Amreli,Veraval Junction
52946,Amreli Veraval MG Passenger,Amreli,Veraval Junction
16343,Amritha Express,Trivandrum Central,Madurai Junction
19612,Amritsar Ajmer Express,Amritsar Junction,Ajmer Junction
19614,Amritsar Ajmer Express,Amritsar Junction,Ajmer Junction
74661,Amritsar Atari DEMU,Amritsar Junction,Atari Shyam Singh
74663,Amritsar Atari DEMU,Amritsar Junction,Atari Shyam Singh
14720,Amritsar Bikaner Weekly Express,Amritsar Junction,Bikaner Junction
14542,Amritsar Chandigarh Express,Amritsar Junction,Chandigarh Junction
12412,Amritsar Chandigarh Intercity Express,Amritsar Junction,Chandigarh Junction
5050,Amritsar Chhapra Special,Amritsar Junction,Chhapra Junction
14632,Amritsar Dehradun Express,Amritsar Junction,Dehradun
22488,Amritsar Delhi Vande Bharat Express,Amritsar Junction,Delhi Junction
74651,Amritsar Dera Baba Nanak DEMU,Amritsar Junction,Dera Baba Nanak
74655,Amritsar Dera Baba Nanak DEMU,Amritsar Junction,Dera Baba Nanak
22424,Amritsar Gorakhpur Jansadharan Super Fast Express,Amritsar Junction,Gorakhpur Junction
12054,Amritsar Haridwar Jan Shatabdi Express,Amritsar Junction,Haridwar
12422,Amritsar Hazur Sahib Nanded Super Fast Express,Amritsar Junction,Hazur Sahib Nanded
14654,Amritsar Hisar Express,Amritsar Junction,Hisar Junction
13006,Amritsar Howrah Mail,Amritsar Junction,Howrah Junction
19326,Amritsar Indore Express,Amritsar Junction,Indore Junction
74644,Amritsar Jalandhar City DEMU,Amritsar Junction,Jalandhar City Junction
4652,Amritsar Jaynagar Clone Special,Amritsar Junction,Jaynagar
22446,Amritsar Kanpur Weekly Super Fast Express,Amritsar Junction,Kanpur Central
15708,Amritsar Katihar Amrapali Express,Amritsar Junction,Katihar Junction
74682,Amritsar Khem Karan DEMU,Amritsar Junction,Khem Karan
74684,Amritsar Khem Karan DEMU,Amritsar Junction,Khem Karan
15015,Amritsar Lalkuan Weekly Express,Amritsar Junction,Lal Kuan Junction
14616,Amritsar Lalkuan Weekly Express,Amritsar Junction,Lal Kuan Junction
11058,Amritsar Mumbai CSMT Express,Amritsar Junction,Chhatrapati Shivaji Maharaj Terminus
22126,Amritsar Nagpur AC Super Fast Express,Amritsar Junction,Nagpur Junction
12716,Amritsar Nanded Sachkhand Express,Amritsar Junction,Hazur Sahib Nanded
14505,Amritsar Nangal Dam Express,Amritsar Junction,Nangal Dam
14680,Amritsar New Delhi Intercity Express,Amritsar Junction,New Delhi
12014,Amritsar New Delhi Shatabdi Express,Amritsar Junction,New Delhi
12032,Amritsar New Delhi Shatabdi Express,Amritsar Junction,New Delhi
4093,Amritsar New Delhi Special,Amritsar Junction,New Delhi
12030,Amritsar New Delhi Swarna Jayanti Shatabdi Express,Amritsar Junction,New Delhi
4654,Amritsar New Jalpaiguri Clone Super Fast Special,Amritsar Junction,New Jalpaiguri Junction
12408,Amritsar New Jalpaiguri Karmabhoomi Express,Amritsar Junction,New Jalpaiguri Junction
15934,Amritsar New Tinsukia Express,Amritsar Junction,New Tinsukia Junction
74671,Amritsar Pathankot DEMU,Amritsar Junction,Pathankot Junction
74675,Amritsar Pathankot DEMU,Amritsar Junction,Pathankot Junction
54611,Amritsar Pathankot Passenger,Amritsar Junction,Pathankot Junction
54613,Amritsar Pathankot Passenger,Amritsar Junction,Pathankot Junction
54615,Amritsar Pathankot Passenger,Amritsar Junction,Pathankot Junction
14618,Amritsar Purnea Court Jan Sewa Express,Amritsar Junction,Purnia Court
74691,Amritsar Qadian DEMU,Amritsar Junction,Qadian
12204,Amritsar Saharsa Garib Rath Express,Amritsar Junction,Saharsa Junction
14604,Amritsar Saharsa Jansadharan Express,Amritsar Junction,Saharsa Junction
15532,Amritsar Saharsa Jansadharan Express,Amritsar Junction,Saharsa Junction
12380,Amritsar Sealdah Jallianwala Bagh Express,Amritsar Junction,Sealdah
18104,Amritsar Tatanagar Jallianwala Bagh Express,Amritsar Junction,Tatanagar Junction
12484,Amritsar Thiruvananthapuram North Weekly Super Fast Express,Amritsar Junction,
69129,Anand Ahmedabad MEMU,Anand Junction,Ahmedabad Junction
69176,Anand Bharuch Memu,Anand Junction,Bharuch Junction
69133,Anand Dakor MEMU,Anand Junction,Dakor
69135,Anand Dakor MEMU,Anand Junction,Dakor
69191,Anand Gandhinagar Capital MEMU,Anand Junction,Gandhinagar Capital
69123,Anand Godhra MEMU,Anand Junction,Godhra Junction
69125,Anand Godhra MEMU,Anand Junction,Godhra Junction
69145,Anand Godhra MEMU,Anand Junction,Godhra Junction
69147,Anand Godhra MEMU,Anand Junction,Godhra Junction
69189,Anand Godhra MEMU,Anand Junction,Godhra Junction
69215,Anand Khambhat MEMU,Anand Junction,Khambhat
69217,Anand Khambhat MEMU,Anand Junction,Khambhat
69219,Anand Khambhat MEMU,Anand Junction,Khambhat
69221,Anand Khambhat MEMU,Anand Junction,Khambhat
69223,Anand Khambhat MEMU,Anand Junction,Khambhat
69225,Anand Khambhat MEMU,Anand Junction,Khambhat
69227,Anand Khambhat MEMU,Anand Junction,Khambhat
69229,Anand Khambhat MEMU,Anand Junction,Khambhat
69104,Anand Vadodara MEMU,Anand Junction,Vadodara Junction
2802,Anand Vihar Bhubaneshwar Super Fast Special,Anand Vihar Terminus,Bhubaneswar
2464,Anand Vihar Patna Special,Anand Vihar Terminus,Patna Junction
14012,Anand Vihar Radhikapur Express,Anand Vihar Terminus,Radhikapur
15274,Anand Vihar Raxaul Satyagraha Express,Anand Vihar Terminus,Raxaul Junction
12330,Anand Vihar Sealdah Sampark Kranti Super Fast Express,Anand Vihar Terminus,Sealdah
20502,Anand Vihar Terminal Agartala Tejas Rajdhani Express,Anand Vihar Terminus,Agartala
22426,Anand Vihar Terminal Ayodhya Cantt Vande Bharat Express,Anand Vihar Terminus,Ayodhya Cantonment
4056,Anand Vihar Terminal Ballia Clone Special,Anand Vihar Terminus,Ballia
22542,Anand Vihar Terminal Banaras Garib Rath Express,Anand Vihar Terminus,Banaras
4020,Anand Vihar Terminal Barauni Summer Special,Anand Vihar Terminus,Barauni Junction
22406,Anand Vihar Terminal Bhagalpur Garib Rath Express,Anand Vihar Terminus,Bhagalpur Junction
4412,Anand Vihar Terminal Bhagalpur Summer Special,Anand Vihar Terminus,Bhagalpur Junction
22806,Anand Vihar Terminal Bhubaneswar Weekly Super Fast Express,Anand Vihar Terminus,Bhubaneswar
5306,Anand Vihar Terminal Chhapra Summer Special,Anand Vihar Terminus,Chhapra Junction
3258,Anand Vihar Terminal Danapur AC Super Fast Summer Special,Anand Vihar Terminus,Danapur
13258,Anand Vihar Terminal Danapur Jan Sadharan Express,Anand Vihar Terminus,Danapur
15558,Anand Vihar Terminal Darbhanga Amrit Bharat Express,Anand Vihar Terminus,Darbhanga Junction
22457,Anand Vihar Terminal Dehradun Vande Bharat Express,Anand Vihar Terminus,Dehradun
22410,Anand Vihar Terminal Gaya Garib Rath Express,Anand Vihar Terminus,Gaya Junction
2398,Anand Vihar Terminal Gaya Super Fast Clone Special,Anand Vihar Terminus,Gaya Junction
12572,Anand Vihar Terminal Gorakhpur Humsafar Express,Anand Vihar Terminus,Gorakhpur Junction
12596,Anand Vihar Terminal Gorakhpur Humsafar Express,Anand Vihar Terminus,Gorakhpur Junction
15058,Anand Vihar Terminal Gorakhpur Weekly Express,Anand Vihar Terminus,Gorakhpur Junction
12444,Anand Vihar Terminal Haldia Super Fast Express,Anand Vihar Terminus,Haldia
3012,Anand Vihar Terminal Howrah Summer Special,Anand Vihar Terminus,Howrah Junction
12436,Anand Vihar Terminal Jaynagar Garib Rath Express,Anand Vihar Terminus,Jaynagar
4096,Anand Vihar Terminal Jaynagar Summer Special,Anand Vihar Terminus,Jaynagar
2526,Anand Vihar Terminal Kamakhya Summer Special,Anand Vihar Terminus,Kamakhya Junction
15622,Anand Vihar Terminal Kamakhya Weekly Express,Anand Vihar Terminus,Kamakhya Junction
14152,Anand Vihar Terminal Kanpur Express,Anand Vihar Terminus,Kanpur Central
14089,Anand Vihar Terminal Kotdwar Express,Anand Vihar Terminus,Kotdwar
15060,Anand Vihar Terminal Lalkuan Intercity Express,Anand Vihar Terminus,Lal Kuan Junction
12584,Anand Vihar Terminal Lucknow Junction AC Double Decker Express,Anand Vihar Terminus,Lucknow Junction
12236,Anand Vihar Terminal Madhupur Humsafar Express,Anand Vihar Terminus,Madhupur Junction
13430,Anand Vihar Terminal Malda Weekly Express,Anand Vihar Terminus,Malda Town
15026,Anand Vihar Terminal Mau Express,Anand Vihar Terminus,Mau Junction
22540,Anand Vihar Terminal Mau Super Fast Express,Anand Vihar Terminus,Mau Junction
1676,Anand Vihar Terminal Muzaffarpur Festival Special,Anand Vihar Terminus,Muzaffarpur Junction
12212,Anand Vihar Terminal Muzaffarpur Garib Rath Express,Anand Vihar Terminus,Muzaffarpur Junction
4018,Anand Vihar Terminal Muzaffarpur Summer Special,Anand Vihar Terminus,Muzaffarpur Junction
2460,Anand Vihar Terminal Patna Special,Anand Vihar Terminus,Patna Junction
3256,Anand Vihar Terminal Patna Special,Anand Vihar Terminus,Patna Junction
2462,Anand Vihar Terminal Patna Special Fare Super Fast Summer Special,Anand Vihar Terminus,Patna Junction
